name,category,price,image_url
300 ml Ulrasonik Ledli Hava Nemlendirici Buhar Makinesi Ve Aroma Difüzörü,Elektronik,92.49,https://cdn.dsmcdn.com/mnresize/400/-/ty1926/prod/QC_ENRICHMENT/20260513/17/74a42523-103e-32fc-9418-fc439076075b/1_org_zoom.jpg
BXA0079 - XB7150 Marathon Daily Toz Torbasız Süpürge + HD7301/00 Cam Demlikli Çay Makinesi,Elektronik,10963.91,https://cdn.dsmcdn.com/mnresize/400/-/ty1859/prod/QC_PREP/20260422/11/7cd9fa37-e674-3c81-a023-62897288e5e6/1_org_zoom.jpg
"Office365 Premium 5 Cihaz Kullanım - Bilgisayar, Ipad, Tablet, MacOS, Android, Ios, Macbook",Elektronik,53.0,https://cdn.dsmcdn.com/mnresize/400/-/ty1908/prod/QC_ENRICHMENT/20260519/19/1e48b70c-0743-3cee-8433-33f9b5142c05/1_org_zoom.jpg
5000 Serisi Hr2695/01 1200 W Blender Seti,Elektronik,3821.02,https://cdn.dsmcdn.com/mnresize/400/-/ty1891/prod/QC_ENRICHMENT/20260506/09/827601e2-0aed-3c23-b39a-b17c0f3cae89/1_org_zoom.jpg
Büyük Boy Hy-510 (35GR) 1.93 W/m.k Termal Macun Cpu Soğutma Pastası Cpu Gpu Ps4 Ps3 Pc,Elektronik,71.15,https://cdn.dsmcdn.com/mnresize/400/-/ty1918/prod/QC_ENRICHMENT/20260608/14/d89333db-a1a1-34a6-a0e6-061f24cc7962/1_org_zoom.jpg
Meyveli Tasarım 3 Kademeli Sessiz Mini El Masa Fan Vantilatör Turbo Üfleme Kademe Taşınabilir Fan,Elektronik,124.99,https://cdn.dsmcdn.com/mnresize/400/-/ty1853/prod/QC_ENRICHMENT/20260405/19/c2219622-cbde-30aa-83d7-9a9fb94748db/1_org_zoom.jpg
Ultra microSDXC 128GB C10 UHS-1- SDSQUNR-128G-GN6MN,Elektronik,1129.55,https://cdn.dsmcdn.com/mnresize/400/-/ty1677/prod/QC/20250512/12/303f4f4f-e722-37ad-98ef-c18f09ee7afd/1_org_zoom.jpg
Thermochef XL Airfryer/Sıcak Hava Fritözü-Siyah,Elektronik,2049.0,https://cdn.dsmcdn.com/mnresize/400/-/ty1727/prod/QC_ENRICHMENT/20250814/09/470b76b9-856f-387d-8a55-be8b5b8374e4/1_org_zoom.jpg
"Usb Grişli Usb Çoklayıcı, Usb - 4 Usb Girişli Usb Çoğaltıcı, Usb Hub Usb 3.0 4-port Hub",Elektronik,170.35,https://cdn.dsmcdn.com/mnresize/400/-/ty1499/product/media/images/prod/QC/20240822/18/2ebe35a6-7a74-3fee-ba30-baa283d82666/1_org_zoom.jpg
MG3920/15 7'si 1 Arada All-in-One 3000 Serisi Erkek Bakım Seti,Elektronik,1583.01,https://cdn.dsmcdn.com/mnresize/400/-/ty1720/prod/QC_PREP/20250807/14/d62f4476-f704-39fe-9ae4-28246e6b8507/1_org_zoom.jpg
Windows11 Pro Dijital Lisans Anahtarı Key 32&64 Bit Ömür Boyu Fredoss Uyumlu,Elektronik,40.0,https://cdn.dsmcdn.com/mnresize/400/-/ty1941/prod/QC_PREP/20260524/08/4c47b05d-9b78-3ab3-91b8-8cbd4bf99b38/1_org_zoom.jpg
